ID	B6N4	BFMI4	foldchange
ENSMUSG00000081087	1	4,6	360
ENSMUSG00000035296	1	4,4	340
ENSMUSG00000081622	1	3,9	290
ENSMUSG00000092281	1,5	5,7	280
ENSMUSG00000096631	1,5	5,6	273,3333333
ENSMUSG00000086645	1,1	3,9	254,5454545
ENSMUSG00000005716	1	3,1	210
ENSMUSG00000072894	1	3	200
ENSMUSG00000093828	1,1	3,3	200
ENSMUSG00000042189	1,1	3,1	181,8181818
ENSMUSG00000066553	2,1	5,9	180,952381
ENSMUSG00000054822	1	2,8	180
ENSMUSG00000082908	1,9	5,3	178,9473684
ENSMUSG00000085666	1,4	3,9	178,5714286
ENSMUSG00000072762	1,3	3,6	176,9230769
ENSMUSG00000082192	1,7	4,6	170,5882353
ENSMUSG00000093880	1,3	3,5	169,2307692
ENSMUSG00000064563	1,4	3,7	164,2857143
ENSMUSG00000096559	1,1	2,8	154,5454545
ENSMUSG00000064168	1,2	3	150
ENSMUSG00000068154	1,6	4	150
ENSMUSG00000083022	2,2	5,4	145,4545455
ENSMUSG00000065738	1,9	4,6	142,1052632
ENSMUSG00000019178	1,2	2,9	141,6666667
ENSMUSG00000020327	1	2,4	140
ENSMUSG00000048709	1,5	3,6	140
ENSMUSG00000077549	1	2,4	140
ENSMUSG00000078747	1,5	3,6	140
ENSMUSG00000083757	1	2,4	140
ENSMUSG00000094497	3,2	7,6	137,5
ENSMUSG00000062727	2	4,7	135
ENSMUSG00000059058	2,3	5,4	134,7826087
ENSMUSG00000029074	1,3	3	130,7692308
ENSMUSG00000058914	1,3	3	130,7692308
ENSMUSG00000093075	1	2,3	130
ENSMUSG00000032454	2,1	4,8	128,5714286
ENSMUSG00000086075	1,1	2,5	127,2727273
ENSMUSG00000032023	1,2	2,7	125
ENSMUSG00000022231	1,3	2,9	123,0769231
ENSMUSG00000037143	1,4	3,1	121,4285714
ENSMUSG00000029695	1	2,2	120
ENSMUSG00000032425	2	4,4	120
ENSMUSG00000044744	1	2,2	120
ENSMUSG00000062353	3,3	7,2	118,1818182
ENSMUSG00000048916	1,8	3,9	116,6666667
ENSMUSG00000081455	2,5	5,4	116
ENSMUSG00000093499	1,4	3	114,2857143
ENSMUSG00000037846	1	2,1	110
ENSMUSG00000058624	1	2,1	110
ENSMUSG00000002190	1,1	2,3	109,0909091
ENSMUSG00000043190	1,1	2,3	109,0909091
ENSMUSG00000083833	3,4	7,1	108,8235294
ENSMUSG00000061897	2,4	5	108,3333333
ENSMUSG00000019892	1,3	2,7	107,6923077
ENSMUSG00000087117	1,3	2,7	107,6923077
ENSMUSG00000078183	1,5	3,1	106,6666667
ENSMUSG00000094777	1,6	3,3	106,25
ENSMUSG00000091383	3,4	7	105,8823529
ENSMUSG00000064315	2	4,1	105
ENSMUSG00000084459	2,4	4,9	104,1666667
ENSMUSG00000020096	1	2	100
ENSMUSG00000020427	1	2	100
ENSMUSG00000020475	1	2	100
ENSMUSG00000024901	1,3	2,6	100
ENSMUSG00000050640	1,2	2,4	100
ENSMUSG00000058126	2,8	5,6	100
ENSMUSG00000068396	3,3	6,6	100
ENSMUSG00000071252	1,1	2,2	100
ENSMUSG00000071265	1	2	100
ENSMUSG00000079254	1	2	100
ENSMUSG00000082399	2,7	5,4	100
ENSMUSG00000086359	1,3	2,6	100
ENSMUSG00000087111	1,4	2,8	100
ENSMUSG00000089365	1,3	2,6	100
ENSMUSG00000091619	1,3	2,6	100
ENSMUSG00000085416	1,8	3,5	94,44444444
ENSMUSG00000018893	1,4	2,7	92,85714286
ENSMUSG00000036377	1,4	2,7	92,85714286
ENSMUSG00000059395	1,3	2,5	92,30769231
ENSMUSG00000030769	1,2	2,3	91,66666667
ENSMUSG00000009114	1	1,9	90
ENSMUSG00000029153	1	1,9	90
